TP,TE,NF,NC,TR,NP,NR,MP,EP
8,2,4,4,1,12,48,3,12
8,2,4,4,1,12,48,6,12
8,2,4,4,1,12,48,18,12
8,2,4,4,1,12,48,36,12
8,1,4,4,1,6,48,3,6
8,1,4,4,1,6,48,6,6
8,1,4,4,1,6,48,18,6
8,1,4,4,1,6,48,36,6
8,2,4,4,2,12,48,3,15
8,2,4,4,2,12,48,6,15
8,2,4,4,2,12,48,18,12
8,2,4,4,2,12,48,36,12
8,1,4,4,2,6,48,3,12
8,1,4,4,2,6,48,6,6
8,1,4,4,2,6,48,18,6
8,1,4,4,2,6,48,36,6
16,2,4,4,1,6,48,3,6
16,2,4,4,1,6,48,6,6
16,2,4,4,1,6,48,18,6
16,2,4,4,1,6,48,36,6
16,1,4,4,1,3,48,3,3
16,1,4,4,1,3,48,6,3
16,1,4,4,1,3,48,18,3
16,1,4,4,1,3,48,36,3
16,2,4,4,2,6,48,3,12
16,2,4,4,2,6,48,6,6
16,2,4,4,2,6,48,18,6
16,2,4,4,2,6,48,36,6
16,1,4,4,2,3,48,3,3
16,1,4,4,2,3,48,6,3
16,1,4,4,2,3,48,18,3
16,1,4,4,2,3,48,36,3
32,2,4,4,1,3,48,3,3
32,2,4,4,1,3,48,6,3
32,2,4,4,1,3,48,18,3
32,2,4,4,1,3,48,36,3
32,1,4,4,1,1,48,3,2
32,1,4,4,1,1,48,6,2
32,1,4,4,1,1,48,18,2
32,1,4,4,1,1,48,36,2
32,2,4,4,2,3,48,3,3
32,2,4,4,2,3,48,6,3
32,2,4,4,2,3,48,18,3
32,2,4,4,2,3,48,36,3
32,1,4,4,2,1,48,3,2
32,1,4,4,2,1,48,6,2
32,1,4,4,2,1,48,18,2
32,1,4,4,2,1,48,36,2
